kod,opis
BABII1a_D12_A,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od jednostek powiązanych | Z tytułu dostaw i usług | o okresie spłaty do 12 miesięcy | Odpisy aktualizujące wartość należności z tytułu dostaw i usług od jednostek powiązanych w okresie spłaty do 12 miesięcy
BABII1a_P12,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od jednostek powiązanych | Z tytułu dostaw i usług | o okresie spłaty powyżej 12 miesięcy
BABII1a_P12_A,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od jednostek powiązanych | Z tytułu dostaw i usług | o okresie spłaty powyżej 12 miesięcy | Odpisy aktualizujące wartość należności z tytułu dostaw i usług od jednostek powiązanych w okresie spłaty powyżej 12 miesięcy
BABII1b,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od jednostek powiązanych | Inne
BABII1b_A,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od jednostek powiązanych | Inne | Odpisy aktualizujące wartość innych należności od jednostek powiązanych
BABII2a_D12,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Z tytułu dostaw i usług | o okresie spłaty do 12 miesięcy"
BABII2a_D12_A,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Z tytułu dostaw i usług | o okresie spłaty do 12 miesięcy | Odpisy aktualizujące wartość należności z tytułu dostaw i usług od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale, o okresie spłaty do 12 miesięcy"
BABII2a_P12,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Z tytułu dostaw i usług | o okresie spłaty powyżej 12 miesięcy"
BABII2a_P12_A,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Z tytułu dostaw i usług | o okresie spłaty powyżej 12 miesięcy | Odpisy aktualizujące wartość należności z tytułu dostaw i usług od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale, o okresie spłaty powyżej 12 miesięcy"
BABII2b,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Inne"
BABII2b_A,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Inne | Odpisy aktualizujące wartość innych należności od pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale"
BABII3a_D12,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Z tytułu dostaw i usług | o okresie spłaty do 12 miesięcy
BABII3a_D12_A,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Z tytułu dostaw i usług | o okresie spłaty do 12 miesięcy | Odpisy aktualizujące wartość należności z tytułu dostaw i usług od pozostałych jednostek o okresie spłaty do 12 miesięcy
BABII3a_P12,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Z tytułu dostaw i usług | o okresie spłaty powyżej 12 miesięcy
BABII3a_P12_A,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Z tytułu dostaw i usług | o okresie spłaty powyżej 12 miesięcy | Odpisy aktualizujące wartość należności z tytułu dostaw i usług od pozostałych jednostek o okresie spłaty powyżej 12 miesięcy
BABII3b,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Z tytułu podatków, dotacji, ceł, ubezpieczeń społecznych i zdrowotnych oraz innych świadczeń"
BABII3b_A,"AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Z tytułu podatków, dotacji, ceł, ubezpieczeń społecznych i zdrowotnych oraz innych świadczeń | Odpisy aktualizujące wartość należności z tytułu podatków, dotacji, ceł, ubezpieczeń, społecznych i zdrowotnych oraz innych świadczeń"
BABII3c_W,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Inne
BABII3c_A,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Inne | Odpisy aktualizujące wartość innych należności
BABII3d_W,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Dochodzone na drodze sądowej
BABII3d_A,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od pozostałych jednostek | Dochodzone na drodze sądowej | Odpisy aktualizujące wartość należności dochodzonych na drodze sądowej
BABIII1a1_ULA_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Udziały lub akcje
BABIII1a1_ULA_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Udziały lub akcje | Odpisy aktualizujące wartość udziałów lub akcji w jednostkach powiązanych
BABIII1a2_IPW_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Inne papiery wartościowe
BABIII1a2_IPW_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Inne papiery wartościowe | Odpisy aktualizujące wartość innych papierów wartościowych w jednostkach powiązanych
BABIII1a3_UP_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Udzielone pożyczki
BABIII1a3_UP_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Udzielone pożyczki | Odpisy aktualizujące wartość udzielonych pożyczek w jednostkach powiązanych
BABIII1a4_IKAF_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Inne krótkoterminowe aktywa finansowe
BABIII1a4_IKAF_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W jednostkach powiązanych | Inne krótkoterminowe aktywa finansowe | Odpisy aktualizujące wartość innych krótkoterminowych aktywów finansowych w jednostkach powiązanych
BABIII1b1_ULA_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Udziały lub akcje
BABIII1b1_ULA_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Udziały lub akcje | Odpisy aktualizujące wartość udziałów lub akcji w pozostałych jednostkach
BABIII1b2_IPW_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Inne papiery wartościowe
BABIII1b2_IPW_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Inne papiery wartościowe | Odpisy aktualizujące wartość innych papierów wartościowych w pozostałych jednostkach
BABIII1b3_UP_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Udzielone pożyczki
BABIII1b3_UP_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Udzielone pożyczki | Odpisy aktualizujące wartość udzielonych pożyczek w pozostałych jednostkach
BABIII1b4_IKAF_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Inne krótkoterminowe aktywa finansowe
BABIII1b4_IKAF_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | W pozostałych jednostkach | Inne krótkoterminowe aktywa finansowe | Odpisy aktualizujące wartość innych krótkoterminowych aktywów finansowych w pozostałych jednostkach
BABIII1c1_SPKR,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | Środki pieniężne i inne aktywa pieniężne | Środki pieniężne w kasie i na rachunkach
BABIII1c2_ISP,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | Środki pieniężne i inne aktywa pieniężne | Inne środki pieniężne
BABIII1c2_ISP_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | Środki pieniężne i inne aktywa pieniężne | Inne środki pieniężne | Odpisy aktualizujące wartość innych środków pieniężnych
BABIII1c3_IAP,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | Środki pieniężne i inne aktywa pieniężne | Inne aktywa pieniężne
BABIII1c3_IAP_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Krótkoterminowe aktywa finansowe | Środki pieniężne i inne aktywa pieniężne | Inne aktywa pieniężne | Odpisy aktualizujące wartość innych aktywów pieniężnych
BABIII2_W,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Inne inwestycje krótkoterminowe
BABIII2_A,AKTYWA | Aktywa obrotowe | Inwestycje krótkoterminowe | Inne inwestycje krótkoterminowe | Odpisy aktualizujące wartość innych inwestycji krótkoterminowych
BABIV,AKTYWA | Aktywa obrotowe | Krótkoterminowe rozliczenia międzyokresowe
BABIV_A,AKTYWA | Aktywa obrotowe | Krótkoterminowe rozliczenia międzyokresowe | Odpisy aktualizujące wartość krótkoterminowych rozliczeń międzyokresowych
BAC,AKTYWA | Należne wpłaty na kapitał (fundusz) podstawowy
BAD,AKTYWA | Udziały (akcje) własne
BPAI,PASYWA | Kapitał (fundusz) własny | Kapitał (fundusz) podstawowy
BPAIIWS,PASYWA | Kapitał (fundusz) własny | Kapitał (fundusz) zapasowy | Z nadwyżki wartości sprzedaży (wartości emisyjnej) nad wartością nominalną udziałów (akcji)
BPAII_INN,PASYWA | Kapitał (fundusz) własny | Kapitał (fundusz) zapasowy | Z innych źródeł
BPAII_ES_ZP,PASYWA | Kapitał (fundusz) własny | Kapitał (fundusz) zapasowy | Kwota zysku wypracowanego w latach przed opodatkowaniem ryczałtem od dochodów spółek
BPAII_ES_ZR,PASYWA | Kapitał (fundusz) własny | Kapitał (fundusz) zapasowy | Kwota zysku wypracowanego w latach opodatkowania ryczałtem od dochodów spółek
BPAIIIAWG,PASYWA | Kapitał (fundusz) własny | Kapitał (fundusz) z aktualizacji wyceny | Z tytułu aktualizacji wartości godziwej
BPAIII_INN,PASYWA | Kapitał (fundusz) własny | Kapitał (fundusz) z aktualizacji wyceny | Z innego tytułu
BPAIVU,PASYWA | Kapitał (fundusz) własny | Pozostałe kapitały (fundusze) rezerwowe | Tworzone zgodnie z umową (ze statutem)
BPAIVUW,PASYWA | Kapitał (fundusz) własny | Pozostałe kapitały (fundusze) rezerwowe | Na udziały (akcje) własne
BPAIV_INN,PASYWA | Kapitał (fundusz) własny | Pozostałe kapitały (fundusze) rezerwowe | Inne
BPAIV_ES_ZP,PASYWA | Kapitał (fundusz) własny | Pozostałe kapitały (fundusze) rezerwowe | Kwota zysku wypracowanego w latach przed opodatkowaniem ryczałtem od dochodów spółek
BPAIV_ES_ZR,PASYWA | Kapitał (fundusz) własny | Pozostałe kapitały (fundusze) rezerwowe | Kwota zysku wypracowanego w latach opodatkowania ryczałtem od dochodów spółek
BPAV,PASYWA | Kapitał (fundusz) własny | Zysk (strata) z lat ubiegłych
BPAV_ES_NZP,PASYWA | Kapitał (fundusz) własny | Zysk (strata) z lat ubiegłych | Kwota niepodzielonych zysków wypracowanych w latach przed opodatkowaniem ryczałtem od dochodów spółek
BPAV_ES_NPR,PASYWA | Kapitał (fundusz) własny | Zysk (strata) z lat ubiegłych | Kwota niepodzielonych zysków wypracowanych w latach opodatkowania ryczałtem od dochodów spółek
BPAV_ES_NSP,PASYWA | Kapitał (fundusz) własny | Zysk (strata) z lat ubiegłych | Kwota niepokrytych strat poniesionych w latach przed opodatkowaniem ryczałtem od dochodów spółek
BPAV_ES_NSR,PASYWA | Kapitał (fundusz) własny | Zysk (strata) z lat ubiegłych | Kwota niepokrytych strat poniesionych w latach opodatkowania ryczałtem od dochodów spółek
BPAVI,PASYWA | Kapitał (fundusz) własny | Zysk (strata) netto
BPAVII,PASYWA | Kapitał (fundusz) własny | Odpisy z zysku netto w ciągu roku obrotowego (wielkość ujemna)
BPBI1,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rezerwy na zobowiązania | Rezerwa z tytułu odroczonego podatku dochodowego
BPBI2_D,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rezerwy na zobowiązania | Rezerwa na świadczenia emerytalne i podobne | Długoterminowa
BPBI2_K,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rezerwy na zobowiązania | Rezerwa na świadczenia emerytalne i podobne | Krótkoterminowa
BPBI3_D,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rezerwy na zobowiązania | Pozostałe rezerwy | Długoterminowe
